"draw_id","Zone","Year","NMDS1","NMDS2"
4,"Core",2006,-0.127589303111304,-0.0400790766591168
4,"Core",2007,-0.143348081524669,-0.0139160776966206
4,"Core",2008,-0.153933970065927,0.00489991911087116
4,"Core",2009,-0.128450448692019,0.017422514113056
4,"Core",2010,-0.125925364217177,0.0253111360925943
4,"Core",2011,-0.0997169120852543,0.0265266282272468
4,"Core",2012,-0.120573408930042,0.0703200760233616
4,"Core",2013,-0.0913385643375072,0.048577249262546
4,"Core",2014,-0.0914103299886801,0.0712938737958537
4,"Core",2015,-0.0932932554875656,0.0637397786544545
4,"Core",2016,-0.0823327004692597,0.0820168814717854
4,"Core",2017,-0.067680176033073,0.0905560930797826
4,"Core",2018,-0.0571287225025747,0.107561010520594
4,"Core",2019,-0.0570412003984947,0.0835304882806531
4,"Core",2020,-0.051564962798562,0.0687414675902553
4,"Core",2021,-0.0617843059722665,0.121488552125313
4,"Core",2022,-0.0506467617708948,0.144703728667296
4,"Core",2023,-0.0813852531017007,0.168539669694808
4,"Buffer",2000,-0.0362753817609927,-0.101817722573986
4,"Buffer",2001,-0.0445623533482351,-0.105394542324684
4,"Buffer",2002,-0.0378416887222774,-0.0886456936792148
4,"Buffer",2003,-0.0286233384295607,-0.0712545318275264
4,"Buffer",2004,-0.0278513140105034,-0.0806860099484979
4,"Buffer",2005,-0.0380826222340366,-0.0833585303672802
4,"Buffer",2006,-0.0329303831188552,-0.0513526572931399
4,"Buffer",2007,-0.0226980764492206,-0.0632035615806812
4,"Buffer",2008,-0.00879798053665286,-0.0314940046922086
4,"Buffer",2009,0.00228432314931583,-0.0219308486202575
4,"Buffer",2010,0.0151862590227429,-0.0100969117389022
4,"Buffer",2011,0.0125688976636951,0.00266913636624289
4,"Buffer",2012,0.0162544999804311,0.0126701650636835
4,"Buffer",2013,0.032975064528023,0.0181999704484105
4,"Buffer",2014,0.025026667805902,0.0106835920224705
4,"Buffer",2015,0.0302599995432006,0.0192201586642294
4,"Buffer",2016,0.026333373879281,0.0308358537329711
4,"Buffer",2017,0.0269818813995934,0.0172457474141658
4,"Buffer",2018,0.0455900593799189,0.028136229020462
4,"Buffer",2019,0.0383088375125274,0.0241241894008552
4,"Buffer",2020,0.0430828219539489,0.0460117987445574
4,"Buffer",2021,0.0622413540655465,0.0625211960377974
4,"Buffer",2022,0.0648601616578882,0.10720057228701
4,"Buffer",2023,0.062883190312374,0.146995724057279
4,"Outside",2000,0.0356951912379157,-0.152538838851907
4,"Outside",2001,0.0401555609125111,-0.11240782997844
4,"Outside",2002,0.0344268968587258,-0.108165626894839
4,"Outside",2003,0.0383479030327931,-0.0902404042480193
4,"Outside",2004,0.0532936159544926,-0.0944499994602361
4,"Outside",2005,0.0696980421874389,-0.0898961596332718
4,"Outside",2006,0.06090119253765,-0.0721913206031946
4,"Outside",2007,0.0705459582815369,-0.0715310749209105
4,"Outside",2008,0.067792908322199,-0.0639358787547888
4,"Outside",2009,0.0679913578569075,-0.0546428465728168
4,"Outside",2010,0.0845787415660709,-0.0355073554118254
4,"Outside",2011,0.109035931728641,-0.0294844761489574
4,"Outside",2012,0.129292067568827,-0.0165635872523219
4,"Outside",2013,0.132868906974933,0.0055072221195829
4,"Outside",2014,0.139138051065391,3.6733864229997e-05
4,"Outside",2015,0.121031904703059,0.0129269946007282
4,"Outside",2016,0.126003051131036,0.010009632528841
4,"Outside",2017,0.134207808481749,0.0215454525080975
4,"Outside",2018,0.134310161121775,0.0316276608808529
4,"Outside",2019,0.137711853925734,0.0283901030965895
4,"Outside",2020,0.151225718007375,0.0205131157512821
4,"Outside",2021,0.130343273661548,0.0348534219453461
4,"Outside",2022,0.160375848914653,0.0764850037240653
4,"Outside",2023,0.160347807316777,0.0971279506861596
5,"Core",2000,-0.15865994437945,-0.08333480263484
5,"Core",2001,-0.139383471110016,-0.0774458524616026
5,"Core",2002,-0.153783181184972,-0.0451500577882818
5,"Core",2003,-0.142293132506895,-0.0539958746796213
5,"Core",2004,-0.160016870014728,-0.0403061285809802
5,"Core",2005,-0.130816005426293,-0.0336619720062821
5,"Core",2006,-0.142193384601664,-0.0177488607616825
5,"Core",2007,-0.138759197882185,-0.0143594904112582
5,"Core",2008,-0.142116720316614,-0.00291334863727539
5,"Core",2009,-0.118878986099983,0.0138161543973684
5,"Core",2010,-0.128903579883278,0.0275887647104517
5,"Core",2011,-0.107935186617119,0.026947149639505
5,"Core",2012,-0.102081548066078,0.0442240592957843
5,"Core",2013,-0.103914763746412,0.0545285606846718
5,"Core",2014,-0.0835253508112882,0.0644432273074885
5,"Core",2015,-0.103733121447124,0.0781898072150022
5,"Core",2016,-0.0936463015031898,0.0758576588164688
5,"Core",2017,-0.079183006957831,0.0911255965528293
5,"Core",2018,-0.0716437658301349,0.115146012063654
5,"Core",2019,-0.0459291817971611,0.10800946390858
5,"Core",2020,-0.0575717606034445,0.0972724515932295
5,"Core",2021,-0.0641699411453579,0.114365275135737
5,"Core",2022,-0.0432471793172559,0.132983371946756
5,"Core",2023,-0.110219704586689,0.168853190922249
5,"Buffer",2000,-0.0503239249541299,-0.107499015917449
5,"Buffer",2001,-0.0387964664140304,-0.099548587483792
5,"Buffer",2002,-0.0370199531238452,-0.0865366344731133
5,"Buffer",2003,-0.0287447104292367,-0.0787867233665453
5,"Buffer",2004,-0.0405443735455055,-0.0638601044535362
5,"Buffer",2005,-0.0340374991951868,-0.0759949099217296
5,"Buffer",2006,-0.0182190587440671,-0.0460100157922904
5,"Buffer",2007,-0.0137196084039256,-0.0496913517710464
5,"Buffer",2008,-0.0133799904115117,-0.0422706179409841
5,"Buffer",2009,0.00895438509138403,-0.0226296105092694
5,"Buffer",2010,0.00639732007719761,-0.00304180950203743
5,"Buffer",2011,0.011287090216097,-0.000284107078559634
5,"Buffer",2012,0.0193715859788271,0.0124854225892891
5,"Buffer",2013,0.025516308191249,0.0113507779439101
5,"Buffer",2014,0.0225066824656982,0.00584804789213588
5,"Buffer",2015,0.0318112467384009,0.01453050465755
5,"Buffer",2016,0.0345595063653535,0.0281420631117139
5,"Buffer",2017,0.0251346108947182,0.0178068284110171
5,"Buffer",2018,0.0279507745553419,0.0176727651798057
5,"Buffer",2019,0.0438036400657999,0.0149597928324307
5,"Buffer",2020,0.0487023511720901,0.0454023291624754
5,"Buffer",2021,0.06384718118717,0.066795811893811
5,"Buffer",2022,0.0715621236333094,0.115698889090055
5,"Buffer",2023,0.0795844193046721,0.145098644323211
5,"Outside",2000,0.03142882665774,-0.150492497199967
5,"Outside",2001,0.0262657086929089,-0.110572608592817
5,"Outside",2002,0.0493472840348754,-0.101729257896782
5,"Outside",2003,0.0568441568807121,-0.0989272129175454
5,"Outside",2004,0.0424139049847464,-0.0906283043578766
5,"Outside",2005,0.0543810815152683,-0.0826928696493496
5,"Outside",2006,0.0635428092661876,-0.0719407318367071
5,"Outside",2007,0.0521874295079488,-0.0693604061150413
