"Zone","Year","draw_id","delta"
"Buffer",2016,5,0.0138862325534415
"Buffer",2017,5,0.0139873418114697
"Buffer",2018,5,0.00281935288911832
"Buffer",2019,5,0.016083331864085
"Buffer",2020,5,0.0308341594454752
"Buffer",2021,5,0.0262115810198778
"Buffer",2022,5,0.0495078912518906
"Buffer",2023,5,0.0304746260946422
"Outside",2001,5,0.040252394879386
"Outside",2002,5,0.0247176854053921
"Outside",2003,5,0.00800340918186172
"Outside",2004,5,0.0166464426548967
"Outside",2005,5,0.0143591238634524
"Outside",2006,5,0.014126065373062
"Outside",2007,5,0.0116448585342935
"Outside",2008,5,0.0223037961565158
"Outside",2009,5,0.0220284336505135
"Outside",2010,5,0.0339197979008922
"Outside",2011,5,0.0222512880225115
"Outside",2012,5,0.0244072384609407
"Outside",2013,5,0.00832118015213699
"Outside",2014,5,0.0109875132426021
"Outside",2015,5,0.0108780838414036
"Outside",2016,5,0.029043467490267
"Outside",2017,5,0.0140376422447374
"Outside",2018,5,0.00959395135395029
"Outside",2019,5,0.0130516653720532
"Outside",2020,5,0.0114756907950493
"Outside",2021,5,0.0141712843944426
"Outside",2022,5,0.0359313259128969
"Outside",2023,5,0.0377995770664449
"Core",2001,6,0.02379120670839
"Core",2002,6,0.0153685390560497
"Core",2003,6,0.0102126704701075
"Core",2004,6,0.0199943629094356
"Core",2005,6,0.0110374628957665
"Core",2006,6,0.0264137304831624
"Core",2007,6,0.0123341533228886
"Core",2008,6,0.0197550651596592
"Core",2009,6,0.0214404104473349
"Core",2010,6,0.0126696400275367
"Core",2011,6,0.0265700523914214
"Core",2012,6,0.0198132589072414
"Core",2013,6,0.029599725188989
"Core",2014,6,0.0211996786599267
"Core",2015,6,0.00354776845100417
"Core",2016,6,0.0254561522652434
"Core",2017,6,0.00843841578434402
"Core",2018,6,0.0448596278432643
"Core",2019,6,0.0218086824502457
"Core",2020,6,0.0242547125048741
"Core",2021,6,0.0444247439824139
"Core",2022,6,0.0406844673930041
"Core",2023,6,0.0289477151155327
"Buffer",2001,6,0.0225128829809763
"Buffer",2002,6,0.00877902325247598
"Buffer",2003,6,0.013073939497651
"Buffer",2004,6,0.00427635236625975
"Buffer",2005,6,0.00896705617436058
"Buffer",2006,6,0.037917117940577
"Buffer",2007,6,0.0181572655158709
"Buffer",2008,6,0.0203108406929634
"Buffer",2009,6,0.0129599979744984
"Buffer",2010,6,0.0128104850909522
"Buffer",2011,6,0.0138252755925836
"Buffer",2012,6,0.0158464003895337
"Buffer",2013,6,0.0043151936516099
"Buffer",2014,6,0.0186303182535619
"Buffer",2015,6,0.0149087037566672
"Buffer",2016,6,0.00664067641575589
"Buffer",2017,6,0.00516601248703787
"Buffer",2018,6,0.0231973633153003
"Buffer",2019,6,0.00810260292554016
"Buffer",2020,6,0.0241793874394936
"Buffer",2021,6,0.0249456419269484
"Buffer",2022,6,0.0718861544681003
"Buffer",2023,6,0.0293091652918717
"Outside",2001,6,0.0259724473477535
"Outside",2002,6,0.0190035771406073
"Outside",2003,6,0.0171896724636245
"Outside",2004,6,0.0132536474718736
"Outside",2005,6,0.00843670862711432
"Outside",2006,6,0.0145987423836832
"Outside",2007,6,0.0113432842264463
"Outside",2008,6,0.0216350851435981
"Outside",2009,6,0.0230598697411793
"Outside",2010,6,0.015728203245441
"Outside",2011,6,0.0305034789123592
"Outside",2012,6,0.0148930323963729
"Outside",2013,6,0.0105887850403912
"Outside",2014,6,0.0136518252936619
"Outside",2015,6,0.0168279045488743
"Outside",2016,6,0.0340494039991806
"Outside",2017,6,0.0273419920101006
"Outside",2018,6,0.016436447351661
"Outside",2019,6,0.0096145966303351
"Outside",2020,6,0.0151049187865483
"Outside",2021,6,0.0341429021131436
"Outside",2022,6,0.0515351502854627
"Outside",2023,6,0.0241026536605658
"Core",2001,7,0.0220429743503555
"Core",2002,7,0.0263036347075959
"Core",2003,7,0.00521379862229057
"Core",2004,7,0.0198637414587123
"Core",2005,7,0.0220013023994443
"Core",2006,7,0.0231045082255646
"Core",2007,7,0.0172156043712022
"Core",2008,7,0.0110623838374674
"Core",2009,7,0.0237057509613819
"Core",2010,7,0.04072533271037
"Core",2011,7,0.0158826978734446
"Core",2012,7,0.0200307335709445
"Core",2013,7,0.0240272180116832
"Core",2014,7,0.0246832444042065
"Core",2015,7,0.0236937261572267
"Core",2016,7,0.0232925075148073
"Core",2017,7,0.0262905191598731
"Core",2018,7,0.0238623144049162
"Core",2019,7,0.021476411164758
"Core",2020,7,0.0297500820218218
"Core",2021,7,0.0286130312088733
"Core",2022,7,0.0695578982028692
"Core",2023,7,0.0346327636066823
"Buffer",2001,7,0.0123660819433667
"Buffer",2002,7,0.0226224366191825
"Buffer",2003,7,0.0036840542787078
"Buffer",2004,7,0.0141703490586171
"Buffer",2005,7,0.00186460984428188
"Buffer",2006,7,0.0232698073299396
"Buffer",2007,7,0.010786434611784
"Buffer",2008,7,0.0088863503464465
"Buffer",2009,7,0.0194337110868215
"Buffer",2010,7,0.0202276455193095
"Buffer",2011,7,0.0099610202488938
"Buffer",2012,7,0.0229417517424211
"Buffer",2013,7,0.0169050806932753
"Buffer",2014,7,0.00970176810741336
"Buffer",2015,7,0.00899471146651194
"Buffer",2016,7,0.011507187208634
"Buffer",2017,7,0.0146985777652676
"Buffer",2018,7,0.00925701875040937
"Buffer",2019,7,0.0119806100572326
