"draw_id","Zone","n_increase","n_decrease","mean_inc_mag","mean_dec_mag"
104,"Outside",228,382,0.170517729817132,0.291449392322425
105,"Core",222,380,0.133772744708245,0.311674083102191
105,"Buffer",213,395,0.130141553909,0.299762559364001
105,"Outside",224,386,0.16331237202334,0.302894201310888
106,"Core",217,382,0.167330595639227,0.339286958800548
106,"Buffer",196,411,0.151006441037714,0.312739306514196
106,"Outside",238,371,0.156261313124052,0.292375040398876
107,"Core",220,383,0.148418965313725,0.329286626337208
107,"Buffer",206,403,0.162447645103144,0.345902972733574
107,"Outside",230,379,0.163303351668157,0.324919770287424
108,"Core",228,376,0.17512627970191,0.283715227699653
108,"Buffer",213,396,0.153057096423333,0.310718309729536
108,"Outside",221,389,0.138397743937353,0.319909600106339
109,"Core",214,389,0.151005569941206,0.297537352490705
109,"Buffer",216,392,0.166246364222801,0.2944984023655
109,"Outside",223,387,0.152193357770132,0.300485407718744
110,"Core",228,373,0.144058834424502,0.318520777412303
110,"Buffer",208,400,0.162478419420475,0.324365653264247
110,"Outside",217,392,0.140133290560944,0.306819208760821
111,"Core",247,351,0.14966043368938,0.343779442338522
111,"Buffer",208,398,0.172773467404737,0.31293226663469
111,"Outside",220,390,0.1346009602038,0.307150147911524
112,"Core",232,373,0.154857023241427,0.316546765973636
112,"Buffer",208,400,0.134447871147125,0.314568903479192
112,"Outside",224,385,0.147968333204686,0.306237808098082
113,"Core",222,378,0.16632017596748,0.31667113372145
113,"Buffer",216,394,0.128682242066601,0.31512727138816
113,"Outside",208,402,0.138202697263136,0.286350777543017
114,"Core",222,380,0.141066852188074,0.309658691697892
114,"Buffer",212,396,0.140693999625232,0.327736590774997
114,"Outside",218,392,0.15119857796812,0.293238969821952
115,"Core",217,384,0.156846950971786,0.326230026759607
115,"Buffer",207,402,0.151191071832045,0.311502293280141
115,"Outside",223,386,0.144104682727372,0.32383343099435
116,"Core",227,377,0.177551995084715,0.297241528500492
116,"Buffer",198,410,0.152465307526841,0.319695918660783
116,"Outside",221,388,0.135733043969656,0.311528678277468
117,"Core",214,389,0.163296193224833,0.30842701160612
117,"Buffer",233,374,0.15191728614181,0.329626394704731
117,"Outside",212,398,0.137209207153,0.291074357967312
118,"Core",225,376,0.156756215952671,0.313943326210294
118,"Buffer",193,415,0.150060596461273,0.297962460266057
118,"Outside",227,383,0.147777725519933,0.308415670434839
119,"Core",219,379,0.138656986516886,0.31606451130185
119,"Buffer",213,396,0.163859158740746,0.313512629309945
119,"Outside",198,412,0.141846694837925,0.293210721341792
120,"Core",229,373,0.165553586677373,0.318904722843098
120,"Buffer",215,395,0.155666768942279,0.314260699371186
120,"Outside",206,403,0.128629640488187,0.304075236102273
121,"Core",226,373,0.137136886682429,0.351381228442874
121,"Buffer",209,399,0.146644599759474,0.297049652543248
121,"Outside",223,387,0.147334966674288,0.299885982188025
122,"Core",232,370,0.173101044965387,0.325083950783461
122,"Buffer",211,398,0.155959021338288,0.322226037279416
122,"Outside",230,379,0.130636081766661,0.343959675524214
123,"Core",237,364,0.157225461134656,0.326619474925024
123,"Buffer",197,409,0.133887809725053,0.304922476127782
123,"Outside",225,385,0.151865198750368,0.288602259468958
124,"Core",220,379,0.162484787047842,0.323627717806185
124,"Buffer",222,387,0.162844456242649,0.306505792864828
124,"Outside",224,386,0.143506870113876,0.308406769326525
125,"Core",216,387,0.14766257783431,0.320672033706249
125,"Buffer",225,383,0.144695051698549,0.305961449197617
125,"Outside",219,391,0.132355460055292,0.306056238711556
126,"Core",229,372,0.149266471093253,0.328301081780454
126,"Buffer",198,412,0.156164985594713,0.289488001529326
126,"Outside",224,386,0.147665552880241,0.298536311478061
127,"Core",205,396,0.152395886830669,0.284064395810866
127,"Buffer",201,408,0.160751691056157,0.318710527310601
