"Zone","Year","NMDS1_med","NMDS1_low","NMDS1_high","NMDS2_med","NMDS2_low","NMDS2_high"
"Outside",2004,0.0539318944660235,0.040366653193503,0.0669739800470526,-0.0941424206366447,-0.107082293827816,-0.0804840283442089
"Outside",2005,0.0604532955737581,0.0484051599610674,0.0712885404388606,-0.0869194730648815,-0.0980474341509098,-0.0751030330260153
"Outside",2006,0.0636542340150112,0.0516139012286765,0.0758275005913845,-0.0791169290553722,-0.0904488202113241,-0.0684952739193952
"Outside",2007,0.064371151330455,0.0524271034862525,0.0760658381356062,-0.0717519436457805,-0.0827787823720006,-0.0611994488008048
"Outside",2008,0.0703463744768505,0.0572324709678408,0.0834702021485308,-0.0636237987574364,-0.076282687089246,-0.0524459988850181
"Outside",2009,0.0755619568967184,0.0615429718527269,0.0890228892127514,-0.0528199255992389,-0.062714848329748,-0.0424405484786001
"Outside",2010,0.0932309224645066,0.0797614610794694,0.107605265749343,-0.0378981747509774,-0.0494792706457003,-0.027832336029031
"Outside",2011,0.105958134878212,0.0921370705454614,0.121092578671781,-0.0234488740897366,-0.034071603456215,-0.0137274652981449
"Outside",2012,0.118778724528636,0.102328797243864,0.137698058720335,-0.0135980295411493,-0.0261787770305825,-0.00280775926101579
"Outside",2013,0.130646265343722,0.111264543662086,0.146490072580089,-0.00840737140907316,-0.0201444799827206,0.00490593863409179
"Outside",2014,0.132716052845705,0.114611440946593,0.1496260939106,0.00345438534037999,-0.00739958560401892,0.0193775970921036
"Outside",2015,0.130136580647594,0.111977383327548,0.147483862901201,0.013644527608368,0.000377269360226835,0.029726218577971
"Outside",2016,0.12409640213408,0.109519561635517,0.14190943871221,0.0186211272541093,0.00480521209084266,0.033683513145836
"Outside",2017,0.124557548976996,0.108539177971743,0.142221060716138,0.0194181576413936,0.0083360908528635,0.032419714839978
"Outside",2018,0.131026365759798,0.114154554688698,0.150009199901496,0.0267728588527834,0.0148591529953577,0.0371196039037451
"Outside",2019,0.13464332892897,0.119762794300505,0.151399005766784,0.0245600552727146,0.0114776582701781,0.0355052835926176
"Outside",2020,0.141574706933498,0.124255504801441,0.15650622557496,0.0243315248309716,0.0112361995213221,0.0356266511214431
"Outside",2021,0.144269854971614,0.128504162923639,0.160419605385312,0.0396787688262429,0.0254284052170029,0.051266835292181
"Outside",2022,0.151839766540209,0.134213476514508,0.173617416686211,0.072038838410634,0.0559468765697663,0.0897375262169416
"Outside",2023,0.160221483033823,0.139104242991591,0.182594144303077,0.0944503598962097,0.0762276481668275,0.114541297884021
