"Rarity","Zone","Year","gm_median","gm_low","gm_high"
"Rare","Outside",2017,0.0301522268626177,0.025310769417654,0.03571686678284
"Rare","Outside",2018,0.0302999450137065,0.0246841329234531,0.0363670595739218
"Rare","Outside",2019,0.0334315025929801,0.0271220680501702,0.0399879847977081
"Rare","Outside",2020,0.0354920855596945,0.028248565619465,0.0419959608477746
"Rare","Outside",2021,0.0359972028258204,0.028047284786249,0.0444547051851337
"Rare","Outside",2022,0.0351698600807406,0.0270913788905326,0.0441207190349031
"Rare","Outside",2023,0.0360402988480038,0.0262813388434214,0.0457003139516338
"Common","Core",2000,0.492478268571632,0.429983749826183,0.551863806605644
"Common","Core",2001,0.511682371340423,0.461348596539312,0.560763875867747
"Common","Core",2002,0.531691782593537,0.49280138598255,0.574347688816539
"Common","Core",2003,0.533665481036434,0.490722903264864,0.573905656349709
"Common","Core",2004,0.520590440937604,0.470419093024322,0.567871653882923
"Common","Core",2005,0.514180789030061,0.467653019721377,0.559939002650904
"Common","Core",2006,0.52580587460963,0.481169990792126,0.570199042364459
"Common","Core",2007,0.509438253675198,0.459902748903539,0.552021049792331
"Common","Core",2008,0.506215650892913,0.461845219766577,0.546267783960818
"Common","Core",2009,0.528545588422077,0.491542427085928,0.563664071689255
"Common","Core",2010,0.530880128448026,0.495632213332103,0.563771257872542
"Common","Core",2011,0.534119926979241,0.504145595520229,0.563205630901798
"Common","Core",2012,0.553085022240975,0.524756628220097,0.579583874574461
"Common","Core",2013,0.566662862555471,0.540749207873092,0.592464299782076
"Common","Core",2014,0.533626403395364,0.505372423603289,0.56177128427903
"Common","Core",2015,0.550527896192719,0.52310777188905,0.57656522148712
"Common","Core",2016,0.547079173858605,0.521677554288341,0.571564883252291
"Common","Core",2017,0.541782697661864,0.519177905961272,0.563186553385521
"Common","Core",2018,0.547298860129032,0.521462300215107,0.573560394256619
"Common","Core",2019,0.565740120804696,0.537736062221149,0.590994965181953
"Common","Core",2020,0.540857448107145,0.515591849444278,0.568060927499461
"Common","Core",2021,0.522388371950306,0.491352692470807,0.550007164867581
"Common","Core",2022,0.458830733078787,0.427176233196623,0.490429223439096
"Common","Core",2023,0.403540201277749,0.362478089056827,0.44078302446529
"Common","Buffer",2000,0.651514081327216,0.594047456036679,0.70166550559988
"Common","Buffer",2001,0.678655558865529,0.636243582338067,0.721443633892993
"Common","Buffer",2002,0.685761778403611,0.64731046667645,0.724963077356379
"Common","Buffer",2003,0.680552869205508,0.64307195377209,0.716373706432197
"Common","Buffer",2004,0.645512380583819,0.605476189224635,0.686629149305087
"Common","Buffer",2005,0.605091525576284,0.557398301223655,0.648086324145486
"Common","Buffer",2006,0.609485428279551,0.56498528056762,0.650440821217539
"Common","Buffer",2007,0.600052485382795,0.5571812159083,0.638816564180773
"Common","Buffer",2008,0.593932583678742,0.555898896623658,0.633084987189563
"Common","Buffer",2009,0.607481895327995,0.574683928874457,0.635764148175757
"Common","Buffer",2010,0.603914153271613,0.577281509535308,0.630109279051828
"Common","Buffer",2011,0.569392133892259,0.542784990928317,0.595824151322628
"Common","Buffer",2012,0.56719127453593,0.541081729714518,0.591175677724419
"Common","Buffer",2013,0.565719749114557,0.540361213491364,0.591059243282464
"Common","Buffer",2014,0.574714479944271,0.548519968356251,0.599429074632137
"Common","Buffer",2015,0.543275870340112,0.520754292943038,0.56529892434699
"Common","Buffer",2016,0.5445467305719,0.522379472214026,0.566794789879697
"Common","Buffer",2017,0.60783474930315,0.587823612513248,0.627513982005488
"Common","Buffer",2018,0.603233054452489,0.57986713150704,0.624832337475204
