"Guild","Zone","Year","n_species","comp_median","comp_low","comp_high"
"Bumblebees","Outside",2019,5,0.0265725434212186,0.0114282057278857,0.0445760368120907
"Bumblebees","Outside",2020,5,0.02554298407726,0.0112578833542878,0.0446512074300506
"Bumblebees","Outside",2021,5,0.0271946193751186,0.00763577709788176,0.0525299966870581
"Bumblebees","Outside",2022,5,0.0232968748807433,0.00768667769204213,0.046651819723219
"Bumblebees","Outside",2023,5,0.0227028078403979,0.00490475490378649,0.0529278631095421
"Butterflies","Core",2000,108,0.20981710354696,0.171603792996865,0.256318420699816
"Butterflies","Core",2001,108,0.223685811269477,0.184451127546591,0.262813950969752
"Butterflies","Core",2002,108,0.234532658155636,0.194555723961264,0.274645187625745
"Butterflies","Core",2003,108,0.232865373669872,0.196152427855023,0.27519589854802
"Butterflies","Core",2004,108,0.223743830622608,0.184262620428573,0.264570450012701
"Butterflies","Core",2005,108,0.221025689860826,0.18240675862977,0.258640593182933
"Butterflies","Core",2006,108,0.221038885419728,0.188987919408706,0.257660842658767
"Butterflies","Core",2007,108,0.212674033849049,0.180213486238323,0.246102972486283
"Butterflies","Core",2008,108,0.207498841457436,0.178689448151936,0.238492720368353
"Butterflies","Core",2009,108,0.211615397767436,0.18037719387515,0.242685737790045
"Butterflies","Core",2010,108,0.214370389431269,0.185056505723186,0.239893801636386
"Butterflies","Core",2011,108,0.219093449151257,0.19486527924435,0.243250216141344
"Butterflies","Core",2012,108,0.227931761672181,0.20053685838176,0.253690932442429
"Butterflies","Core",2013,108,0.238085033592627,0.213303264728794,0.260403223411501
"Butterflies","Core",2014,108,0.234812632676192,0.212448917396478,0.253682629967298
"Butterflies","Core",2015,108,0.246337553967316,0.223294742309351,0.265801810541051
"Butterflies","Core",2016,108,0.24907965607021,0.228031469600729,0.268304825393013
"Butterflies","Core",2017,108,0.252546184098132,0.234081231700666,0.270704812953381
"Butterflies","Core",2018,108,0.250422116265154,0.231843750077273,0.267364188986044
"Butterflies","Core",2019,108,0.267148564930443,0.250093402933963,0.285269790773589
"Butterflies","Core",2020,108,0.252484512753348,0.233077681233181,0.270557369673256
"Butterflies","Core",2021,108,0.236651397880684,0.214635136426965,0.255479596861076
"Butterflies","Core",2022,108,0.210696842366998,0.189661112256258,0.229980270088255
"Butterflies","Core",2023,108,0.188524579133318,0.165884595090189,0.210090728076335
"Butterflies","Buffer",2000,108,0.279541074535056,0.244402245931455,0.317661964078318
"Butterflies","Buffer",2001,108,0.293401119870548,0.259794875912098,0.329199601952
"Butterflies","Buffer",2002,108,0.294522909167256,0.26349817263789,0.328242973866962
"Butterflies","Buffer",2003,108,0.288826338963971,0.259639617346929,0.319672737164541
"Butterflies","Buffer",2004,108,0.27926697872901,0.250789010408675,0.310504099823594
"Butterflies","Buffer",2005,108,0.269887255904599,0.241321142432444,0.298112434468249
"Butterflies","Buffer",2006,108,0.269474389582982,0.243463987263825,0.296522731495769
"Butterflies","Buffer",2007,108,0.268028731552123,0.243469893363815,0.293391431611417
"Butterflies","Buffer",2008,108,0.256358540290708,0.23312823100479,0.281816017657712
"Butterflies","Buffer",2009,108,0.257887708248519,0.237334005212693,0.279702657144757
"Butterflies","Buffer",2010,108,0.250870976586963,0.230935813208371,0.269847457003399
"Butterflies","Buffer",2011,108,0.238015649854786,0.220725750759837,0.256934681744889
"Butterflies","Buffer",2012,108,0.22967405410208,0.212446801426226,0.248015257662637
"Butterflies","Buffer",2013,108,0.229463728536122,0.212636419193844,0.247221856302914
"Butterflies","Buffer",2014,108,0.241001955671088,0.223371019632072,0.258997604375164
"Butterflies","Buffer",2015,108,0.232395100100857,0.21506584862117,0.249510864525732
"Butterflies","Buffer",2016,108,0.237451641370316,0.220823619466581,0.252003191959618
"Butterflies","Buffer",2017,108,0.273277550832299,0.256425938329559,0.286817765299789
"Butterflies","Buffer",2018,108,0.265004033293721,0.249630944795441,0.278968984016453
"Butterflies","Buffer",2019,108,0.281323312830477,0.26878247657446,0.293114980561427
"Butterflies","Buffer",2020,108,0.258928357661641,0.243877468584408,0.272281221240485
"Butterflies","Buffer",2021,108,0.238746584817276,0.223878258533726,0.252936806641475
"Butterflies","Buffer",2022,108,0.191883880259104,0.176382390397864,0.207108242373936
"Butterflies","Buffer",2023,108,0.166016928284505,0.150707361626752,0.181318174063747
"Butterflies","Outside",2000,108,0.310278594357984,0.273680873483578,0.345862749959259
"Butterflies","Outside",2001,108,0.319233174048056,0.2889416451123,0.348380983481145
"Butterflies","Outside",2002,108,0.328324903973065,0.301425368560468,0.354433671305794
"Butterflies","Outside",2003,108,0.329921700381736,0.303964943603571,0.3543881111533
"Butterflies","Outside",2004,108,0.33146042576071,0.305759504662019,0.354855928411347
"Butterflies","Outside",2005,108,0.341877928912281,0.318851614679413,0.365076651257971
"Butterflies","Outside",2006,108,0.341754920529627,0.317943418945369,0.362862322339424
"Butterflies","Outside",2007,108,0.316397962964275,0.293266531559058,0.337666343581015
"Butterflies","Outside",2008,108,0.29149210134818,0.270724354391947,0.312022749058619
"Butterflies","Outside",2009,108,0.269327377084193,0.253753642133371,0.285804337425466
"Butterflies","Outside",2010,108,0.246526634424383,0.232043460301383,0.262326022053038
"Butterflies","Outside",2011,108,0.242724494615297,0.226399996034774,0.257881398437445
"Butterflies","Outside",2012,108,0.238367470684764,0.221912231482866,0.253501311090463
"Butterflies","Outside",2013,108,0.227525325624981,0.214136122257102,0.241605921141911
"Butterflies","Outside",2014,108,0.24194097470776,0.228583389264026,0.256167345915221
"Butterflies","Outside",2015,108,0.246820976919933,0.232999545405896,0.260292099514977
"Butterflies","Outside",2016,108,0.25000915337152,0.238859472305821,0.262950119506017
"Butterflies","Outside",2017,108,0.282679484051199,0.270502089961494,0.294891365971353
"Butterflies","Outside",2018,108,0.280970033875383,0.268508173515412,0.293343883778226
"Butterflies","Outside",2019,108,0.290587703939888,0.279040496473915,0.302431869175922
"Butterflies","Outside",2020,108,0.290341864911397,0.278828064676983,0.302467848677769
"Butterflies","Outside",2021,108,0.259358068728683,0.246460900150489,0.271279182126345
"Butterflies","Outside",2022,108,0.212808230415879,0.200987523669622,0.225071524355634
"Butterflies","Outside",2023,108,0.19877281708502,0.185957446764857,0.212431033627128
"Honey Bees","Core",2000,1,0.00362419343575373,1.63052482165617e-05,0.0292481307080735
"Honey Bees","Core",2001,1,0.00380125632386581,4.38795780850587e-05,0.0270573930513655
"Honey Bees","Core",2002,1,0.00410125478129648,7.48676322204777e-05,0.0302185104129529
"Honey Bees","Core",2003,1,0.00478070352649618,0.000150682866625377,0.0269891914405706
"Honey Bees","Core",2004,1,0.00562129405229509,0.000220105207475237,0.0273962298798811
"Honey Bees","Core",2005,1,0.00650577448481109,0.000203603961354537,0.0308055924436187
